Entity,Code,Year,Per capita aviation CO2 - adjusted
Algeria,DZA,2018,45.44577498
Angola,AGO,2018,4.048449286
Argentina,ARG,2018,130.5204297
Australia,AUS,2018,878.8149937
Austria,AUT,2018,99.56896404
Azerbaijan,AZE,2018,59.48165774
Bahrain,BHR,2018,115.0297008
Bangladesh,BGD,2018,69.19628103
Belarus,BLR,2018,1.966741768
Belgium,BEL,2018,337.9464216
Bolivia,BOL,2018,47.42873793
Brazil,BRA,2018,87.52730888
Bulgaria,BGR,2018,70.54150471
Cambodia,KHM,2018,13.49799628
Canada,CAN,2018,531.0497414
Chile,CHL,2018,135.7555501
China,CHN,2018,95.8467979
Colombia,COL,2018,72.3215372
Costa Rica,CRI,2018,47.98344826
Croatia,HRV,2018,24.0099803
Cuba,CUB,2018,27.91986863
Czechia,CZE,2018,75.76352092
Democratic Republic of Congo,COD,2018,2.525355733
Denmark,DNK,2018,274.1496366
Ecuador,ECU,2018,29.83753073
Egypt,EGY,2018,17.41134911
El Salvador,SLV,2018,49.52065626
Ethiopia,ETH,2018,20.28573088
Fiji,FJI,2018,129.5764451
Finland,FIN,2018,999.9149655
France,FRA,2018,137.4393411
Georgia,GEO,2018,74.60760073
Germany,DEU,2018,711.677536
Greece,GRC,2018,116.6984625
Hungary,HUN,2018,44.58489044
Iceland,ISL,2018,1070.445176
India,IND,2018,17.55948723
Indonesia,IDN,2018,44.87371344
Iran,IRN,2018,34.0687446
Ireland,IRL,2018,455.1709312
Israel,ISR,2018,657.6597395
Italy,ITA,2018,123.2524511
Japan,JPN,2018,140.9134295
Jordan,JOR,2018,26.85297272
Kazakhstan,KAZ,2018,94.07970819
Kuwait,KWT,2018,192.4847468
Kyrgyzstan,KGZ,2018,558.6796142
Latvia,LVA,2018,140.0994678
Libya,LBY,2018,145.8020866
Luxembourg,LUX,2018,700.1012338
Madagascar,MDG,2018,3.923832485
Malaysia,MYS,2018,391.0785623
Malta,MLT,2018,254.4914765
Mauritius,MUS,2018,135.6574448
Mexico,MEX,2018,63.18197799
Moldova,MDA,2018,70.19131725
Morocco,MAR,2018,10.48957623
Nepal,NPL,2018,23.7516965
Netherlands,NLD,2018,578.0391962
New Zealand,NZL,2018,701.9059447
Norway,NOR,2018,634.1643866
Oman,OMN,2018,440.5050556
Panama,PAN,2018,178.2276245
Papua New Guinea,PNG,2018,37.72187948
Peru,PER,2018,68.07481651
Philippines,PHL,2018,50.99992381
Poland,POL,2018,44.78235546
Portugal,PRT,2018,102.4778105
Romania,ROU,2018,113.3125337
Russia,RUS,2018,146.0592571
Saudi Arabia,SAU,2018,306.7469101
Singapore,SGP,2018,1173.387106
South Korea,KOR,2018,420.6435263
Spain,ESP,2018,138.9655798
Sri Lanka,LKA,2018,37.46334656
Sweden,SWE,2018,746.3552429
Switzerland,CHE,2018,761.0614868
Tajikistan,TJK,2018,0.670297282
Thailand,THA,2018,76.68151547
Trinidad and Tobago,TTO,2018,112.5355882
Tunisia,TUN,2018,19.22290957
Turkey,TUR,2018,61.17943378
Turkmenistan,TKM,2018,127.2347253
Ukraine,UKR,2018,63.14782356
United Arab Emirates,ARE,2018,1949.606597
United Kingdom,GBR,2018,840.5498989
United States,USA,2018,583.5432092
Venezuela,VEN,2018,31.62712329
World,OWID_WRL,2018,102.7653461
